"business_id","Score","date","type"
589,"92","20120925","routine"
589,"74","20120409","routine"
589,"84","20111013","routine"
591,"92","20140512","routine"
591,"90","20130912","routine"
591,"90","20121218","routine"
591,"92","20111026","routine"
595,"87","20140508","routine"
595,"80","20130910","routine"
595,"68","20130130","routine"
595,"82","20111121","routine"
597,"98","20140319","routine"
597,"89","20121005","routine"
597,"100","20120316","routine"
606,"90","20130409","routine"
606,"92","20120928","routine"
606,"96","20120217","routine"
610,"73","20140528","routine"
610,"86","20130930","routine"
610,"90","20130207","routine"
610,"72","20111026","routine"
615,"96","20140708","routine"
615,"100","20140106","routine"
615,"92","20130411","routine"
615,"81","20120919","routine"
615,"79","20120426","routine"
615,"98","20111004","routine"
619,"89","20140811","routine"
619,"88","20140211","routine"
619,"90","20130822","routine"
619,"93","20130116","routine"
619,"85","20120604","routine"
619,"83","20111207","routine"
625,"96","20140207","routine"
625,"96","20130801","routine"
625,"90","20130220","routine"
625,"90","20120411","routine"
625,"96","20110914","routine"
627,"100","20140617","routine"
627,"92","20131216","routine"
627,"81","20130826","routine"
627,"100","20121029","routine"
627,"100","20120424","routine"
627,"100","20111018","routine"
628,"92","20140609","routine"
628,"93","20131216","routine"
628,"91","20130722","routine"
628,"96","20130122","routine"
628,"91","20120725","routine"
628,"91","20120201","routine"
631,"96","20140203","routine"
631,"94","20130828","routine"
631,"89","20130318","routine"
631,"89","20120924","routine"
631,"98","20120328","routine"
631,"91","20111005","routine"
634,"77","20140203","routine"
634,"76","20130910","routine"
634,"71","20130318","routine"
634,"65","20120911","routine"
634,"69","20120313","routine"
639,"96","20131018","routine"
639,"92","20121114","routine"
639,"92","20120509","routine"
639,"96","20110923","routine"
642,"100","20140306","routine"
642,"100","20131028","routine"
642,"100","20130502","routine"
642,"100","20121017","routine"
642,"96","20120405","routine"
642,"96","20111018","routine"
645,"98","20140210","routine"
645,"98","20130814","routine"
645,"98","20121128","routine"
645,"98","20120515","routine"
645,"98","20111109","routine"
651,"88","20140210","routine"
651,"80","20130814","routine"
651,"75","20130107","routine"
651,"80","20120523","routine"
651,"90","20111110","routine"
659,"98","20140314","routine"
659,"86","20131028","routine"
659,"89","20121227","routine"
659,"88","20120530","routine"
659,"92","20111114","routine"
665,"88","20140213","routine"
665,"88","20130501","routine"
665,"72","20120321","routine"
667,"78","20140520","routine"
667,"79","20130116","routine"
667,"77","20120104","routine"
670,"84","20140826","routine"
670,"92","20140124","routine"
670,"88","20130619","routine"
670,"83","20120621","routine"
670,"96","20120117","routine"
