"name","species","gender","weight","(in lbs)"
"Maltipom","dog",,6,
"Maltipom","dog","male",6,
"Maltipom","dog","female",6,
"Maltipoo","dog",,10,
"Maltipoo","dog","male",10,
"Maltipoo","dog","female",10,
"Manchester Terrier","dog",,17,
"Manchester Terrier","dog","male",17,
"Manchester Terrier","dog","female",17,
"Manchester Terrier, Toy","dog",,9.5,
"Manchester Terrier, Toy","dog","male",9.5,
"Manchester Terrier, Toy","dog","female",9.5,
"Maremma Sheepdog","dog",,82.5,
"Maremma Sheepdog","dog","male",88,
"Maremma Sheepdog","dog","female",77,
"Mastiff","dog",,182.5,
"Mastiff","dog","male",182.5,
"Mastiff","dog","female",182.5,
"McNab","dog",,37.5,
"McNab","dog","male",37.5,
"McNab","dog","female",37.5,
"Mexican Hairless Dog","dog",,22.5,
"Mexican Hairless Dog","dog","male",22.5,
"Mexican Hairless Dog","dog","female",22.5,
"Miniature Australian Shepherd","dog",,30,
"Miniature Australian Shepherd","dog","male",30,
"Miniature Australian Shepherd","dog","female",30,
"Miniature Bull Terrier","dog",,29,
"Miniature Bull Terrier","dog","male",29,
"Miniature Bull Terrier","dog","female",29,
"Miniature Pinscher","dog",,9,
"Miniature Pinscher","dog","male",9,
"Miniature Pinscher","dog","female",9,
"Morkie/Yorktese","dog",,6.5,
"Morkie/Yorktese","dog","male",6.5,
"Morkie/Yorktese","dog","female",6.5,
"Mountain Cur","dog",,50,
"Mountain Cur","dog","male",55,
"Mountain Cur","dog","female",45,
"Mudi","dog",,23.5,
"Mudi","dog","male",23.5,
"Mudi","dog","female",23.5,
"Neapolitan Mastiff","dog",,165,
"Neapolitan Mastiff","dog","male",165,
"Neapolitan Mastiff","dog","female",165,
"New Guinea Singing Dog","dog",,25,
"New Guinea Singing Dog","dog","male",25,
"New Guinea Singing Dog","dog","female",25,
"Newfoundland","dog",,125,
"Newfoundland","dog","male",140,
"Newfoundland","dog","female",110,
"Norfolk Terrier","dog",,11.5,
"Norfolk Terrier","dog","male",11.5,
"Norfolk Terrier","dog","female",11.5,
"Norwegian Buhund","dog",,33,
"Norwegian Buhund","dog","male",35.5,
"Norwegian Buhund","dog","female",30.5,
"Norwegian Elkhound","dog",,51.5,
"Norwegian Elkhound","dog","male",55,
"Norwegian Elkhound","dog","female",48,
"Norwegian Lundehund","dog",,14.5,
"Norwegian Lundehund","dog","male",15.5,
"Norwegian Lundehund","dog","female",13.5,
"Norwich Terrier","dog",,12,
"Norwich Terrier","dog","male",12,
"Norwich Terrier","dog","female",12,
"Nova Scotia Duck Tolling Retriever","dog",,44,
"Nova Scotia Duck Tolling Retriever","dog","male",44,
"Nova Scotia Duck Tolling Retriever","dog","female",44,
"Olde English Bulldogge","dog",,67.5,
"Olde English Bulldogge","dog","male",75,
"Olde English Bulldogge","dog","female",60,
"Olde English Sheepdog","dog",,75,
"Olde English Sheepdog","dog","male",80,
"Olde English Sheepdog","dog","female",70,
"Otterhound","dog",,97.5,
"Otterhound","dog","male",115,
"Otterhound","dog","female",80,
"Papillon","dog",,9.5,
"Papillon","dog","male",9.5,
"Papillon","dog","female",9.5,
"Papoo","dog",,8.5,
"Papoo","dog","male",8.5,
"Papoo","dog","female",8.5,
"Parson Russell Terrier","dog",,15,
"Parson Russell Terrier","dog","male",15,
"Parson Russell Terrier","dog","female",15,
"Patterdale (Fell) Terrier","dog",,12,
"Patterdale (Fell) Terrier","dog","male",12,
"Patterdale (Fell) Terrier","dog","female",12,
"Peek-A-Pom","dog",,6.5,
"Peek-A-Pom","dog","male",6.5,
"Peek-A-Pom","dog","female",6.5,
"Pekepoo","dog",,13,
"Pekepoo","dog","male",13,
"Pekepoo","dog","female",13,
"Pekingese","dog",,14,
"Pekingese","dog","male",14,
"Pekingese","dog","female",14,
"Peruvian Inca Orchid","dog",,32,
"Peruvian Inca Orchid","dog","male",32,
"Peruvian Inca Orchid","dog","female",32,
"Petite Basset Griffon Vendéen","dog",,30,
"Petite Basset Griffon Vendéen","dog","male",30,
"Petite Basset Griffon Vendéen","dog","female",30,
"Pharaoh Hound","dog",,50,
"Pharaoh Hound","dog","male",50,
"Pharaoh Hound","dog","female",50,
"Plott Hound","dog",,51.25,
"Plott Hound","dog","male",55,
"Plott Hound","dog","female",47.5,
"Podengo Portugueso","dog",,27.5,
"Podengo Portugueso","dog","male",27.5,
"Podengo Portugueso","dog","female",27.5,
"Pointer","dog",,60,
"Pointer","dog","male",65,
"Pointer","dog","female",55,
"Polish Lowland Sheepdog","dog",,40,
"Polish Lowland Sheepdog","dog","male",45,
"Polish Lowland Sheepdog","dog","female",35,
"Polish Owczarek Nizinny","dog",,40,
"Polish Owczarek Nizinny","dog","male",45,
"Polish Owczarek Nizinny","dog","female",35,
"Polish Tatra Sheepdog","dog",,105,
"Polish Tatra Sheepdog","dog","male",105,
"Polish Tatra Sheepdog","dog","female",105,
"Pomapoo","dog",,9,
"Pomapoo","dog","male",9,
"Pomapoo","dog","female",9,
"Pomchi","dog",,8.5,
"Pomchi","dog","male",8.5,
"Pomchi","dog","female",8.5,
"Pomeranian","dog",,5,
"Pomeranian","dog","male",5,
"Pomeranian","dog","female",5,
"Poodle, Standard","dog",,55,
"Poodle, Standard","dog","male",55,
"Poodle, Standard","dog","female",55,
"Poodle, Toy","dog",,7.5,
"Poodle, Toy","dog","male",7.5,
"Poodle, Toy","dog","female",7.5,
"Portuguese Podengo","dog",,27.5,
"Portuguese Podengo","dog","male",27.5,
"Portuguese Podengo","dog","female",27.5,
"Portuguese Pointer","dog",,46.5,
"Portuguese Pointer","dog","male",51.5,
"Portuguese Pointer","dog","female",41.5,
"Portuguese Water Dog","dog",,46.75,
"Portuguese Water Dog","dog","male",51,
"Portuguese Water Dog","dog","female",42.5,
"Presa Canario","dog",,92.5,
"Presa Canario","dog","male",100,
"Presa Canario","dog","female",85,
"Pug","dog",,16,
"Pug","dog","male",16,
"Pug","dog","female",16,
"Puggle","dog",,22.5,
"Puggle","dog","male",22.5,
"Puggle","dog","female",22.5,
"Puli","dog",,30,
"Puli","dog","male",30,
"Puli","dog","female",30,
"Pumi","dog",,24.75,
"Pumi","dog","male",27.5,
"Pumi","dog","female",22,
"Pyrenean Mastiff","dog",,137.5,
"Pyrenean Mastiff","dog","male",137.5,
"Pyrenean Mastiff","dog","female",137.5,
"Pyrenean Shepherd","dog",,22.5,
"Pyrenean Shepherd","dog","male",22.5,
"Pyrenean Shepherd","dog","female",22.5,
"Queensland Heeler","dog",,33,
"Queensland Heeler","dog","male",33.5,
"Queensland Heeler","dog","female",32.5,
"Rafeiro Do Alentejo","dog",,115.75,
"Rafeiro Do Alentejo","dog","male",121,
"Rafeiro Do Alentejo","dog","female",110.5,
"Rat Terrier","dog",,23.5,
"Rat Terrier","dog","male",23.5,
"Rat Terrier","dog","female",23.5,
